RANK,COMMON NAME,FREQUENCY
1,Clay-colored Sparrow,0.19
2,Black-bellied Plover,0.32
3,Snow Bunting,0.349
4,Mallard (Domestic type),0.592
5,Sora,0.79
6,Semipalmated Plover,0.856
7,Orange-crowned Warbler,1.075
8,Lincoln's Sparrow,1.171
9,Common Nighthawk,1.198
10,Winter Wren,1.214
11,Bay-breasted Warbler,1.231
12,Ovenbird,1.531
13,Least Flycatcher,1.633
14,Black-crowned Night-Heron,1.705
15,Purple Martin,2.249
16,Black-and-white Warbler,2.295
17,Nashville Warbler,2.365
18,Savannah Sparrow,2.469
19,Magnolia Warbler,2.515
20,Yellow-bellied Sapsucker,2.691
21,Hooded Merganser,2.722
22,Green Heron,2.932
23,Bufflehead,3.083
24,Hermit Thrush,3.333
25,Brown Creeper,3.477
26,Common Merganser,3.514
27,American Kestrel,3.643
28,Swainson's Thrush,3.698
29,Caspian Tern,3.803
30,Palm Warbler,3.83
