,COMMON NAME,FREQUENCY 7 DAY RA
0,DARK-EYED JUNCO,45.19231182795699
1,NORTHERN CARDINAL,42.47483102918577
2,CANADA GOOSE,39.858579109062944
3,DOWNY WOODPECKER,38.27383256528419
4,HOUSE SPARROW,37.4441705069124
5,BLACK-CAPPED CHICKADEE,36.579792626728185
6,AMERICAN CROW,35.29547619047618
7,EUROPEAN STARLING,34.79072196620576
8,MOURNING DOVE,33.01798003072195
9,AMERICAN GOLDFINCH,32.5344086021506
10,MALLARD,29.206658986175142
11,RED-BELLIED WOODPECKER,26.48671274961596
12,HOUSE FINCH,24.846835637480787
13,BLUE JAY,24.515821812595988
14,WHITE-BREASTED NUTHATCH,24.350937019969315
15,RING-BILLED GULL,23.830721966205832
16,AMERICAN TREE SPARROW,22.81544546850996
17,RED-TAILED HAWK,22.614999999999988
18,AMERICAN ROBIN,18.3219815668203
19,HERRING GULL,16.582657450076805
20,ROCK PIGEON,15.463202764976948
21,COMMON GOLDENEYE,14.759976958525336
22,WHITE-THROATED SPARROW,13.037619047619057
23,HAIRY WOODPECKER,12.757795698924753
24,SONG SPARROW,10.592772657450059
25,COMMON MERGANSER,9.368456221198151
26,TUFTED TITMOUSE,9.215821812596008
27,COOPER'S HAWK,8.765737327188935
28,AMERICAN KESTREL,8.605990783410128
29,NORTHERN FLICKER,8.438771121351765
30,GREAT BLUE HERON,7.945691244239645
31,CAROLINA WREN,7.838394777265741
32,BALD EAGLE,7.758586789554529
33,AMERICAN COOT,7.29037634408603
34,RED-BREASTED MERGANSER,6.874915514592932
35,HOODED MERGANSER,5.873141321044559
36,RED-BREASTED NUTHATCH,5.838156682027656
37,RED-WINGED BLACKBIRD,5.756751152073738
38,BROWN CREEPER,5.720829493087556
39,BUFFLEHEAD,5.675691244239635
40,BELTED KINGFISHER,4.7217972350230415
41,AMERICAN BLACK DUCK,4.655414746543781
42,GADWALL,4.551651305683562
43,CEDAR WAXWING,4.099301075268819
44,BROWN-HEADED COWBIRD,3.990591397849465
45,CAROLINA CHICKADEE,3.939600614439328
46,EASTERN BLUEBIRD,3.8367357910906357
